parameter,median,hpd_min,hpd_max
n_sr__598,493.2782158473487,389.4378209983438,610.134458749915
n_sr__597,342.0518561122558,270.0462441544729,423.0829933062342
n_sr__596,356.13111905049783,281.1616701023086,440.4975946335314
n_sr__595,376.2521149921018,297.0469789687347,465.38519877646166
n_sr__594,322.61391836175824,254.70020234873098,399.04026194774156
n_sr__593,322.61391836175824,254.70020234873098,399.04026194774156
n_sr__592,193.5110627548512,152.77489294529133,239.3532974758195
n_sr__591,279.5161654444696,220.67499213910781,345.73277074957974
n_sr__590,376.2521149921018,297.0469789687347,465.38519877646166
n_sr__589,279.04366519854386,220.30195830083377,345.14833650426874
n_sr__588,272.7864645268027,215.36196598642283,337.4088223264851
n_sr__587,309.92525921867946,244.6826430701746,383.34569460256535
n_sr__586,309.92525921867946,244.6826430701746,383.34569460256535
n_sr__585,272.7864645268027,215.36196598642283,337.4088223264851
n_sr__584,367.2991276375701,289.978692199198,454.3112735183424
n_sr__583,367.2991276375701,289.978692199198,454.3112735183424
n_sr__582,321.72468652301603,253.99816342117109,397.9403735496654
n_sr__581,200.52586268816873,158.31300169002435,248.02988408161872
n_sr__580,200.52586268816873,158.31300169002435,248.02988408161872
n_sr__579,291.539505097664,230.16728886990856,360.6044062607217
n_sr__578,291.539505097664,230.16728886990856,360.6044062607217
n_sr__577,291.539505097664,230.16728886990856,360.6044062607217
n_sr__576,364.99737140214813,288.1614805243376,451.46423760685184
n_sr__575,402.6684367995602,317.90237957833966,498.0594740441638
n_sr__574,365.83754145286844,288.82478570042076,452.5034416152298
n_sr__573,223.45137327305088,176.41244456145634,276.38638461802424
n_sr__572,362.59094844324284,286.2616356023261,448.4877397150222
n_sr__571,301.9992130811311,238.42511529421785,373.5419900909992
n_sr__570,301.9992130811311,238.42511529421785,373.5419900909992
n_sr__569,390.4643647907095,308.26739660576,482.96429118295794
n_sr__568,335.3360387106383,264.7441788876823,414.77621736568227
n_sr__567,208.00283311162832,164.21598904246457,257.2781280864146
n_sr__566,336.43916249936603,265.6150831984182,416.1406681241926
n_sr__565,336.43916249936603,265.6150831984182,416.1406681241926
n_sr__564,336.43916249936603,265.6150831984182,416.1406681241926
n_sr__563,208.00283311162832,164.21598904246457,257.2781280864146
n_sr__562,198.7967464744081,156.94788312426098,245.89114502664887
n_sr__561,208.00283311162832,164.21598904246457,257.2781280864146
n_sr__560,208.00283311162832,164.21598904246457,257.2781280864146
n_sr__559,198.7967464744081,156.94788312426098,245.89114502664887
n_sr__558,295.2232002152111,233.0755263588386,365.16075854739927
n_sr__557,350.18384464965237,276.46636122967595,433.1414274016908
