parameter,median,hpd_min,hpd_max
n_sr__645,447.5598264394099,348.6907489308285,550.2125169085939
n_sr__644,243.23582515736163,189.50334018062387,299.0245943807661
n_sr__643,243.23582515736163,189.50334018062387,299.0245943807661
n_sr__642,310.8766609289541,242.2018450288841,382.1795879640141
n_sr__641,310.8766609289541,242.2018450288841,382.1795879640141
n_sr__640,308.98438663776466,240.72758728545202,379.85330008263804
n_sr__639,271.0050253670428,211.13813098693117,333.16296122539563
n_sr__638,271.0050253670428,211.13813098693117,333.16296122539563
n_sr__637,308.98438663776466,240.72758728545202,379.85330008263804
n_sr__636,352.21271742733256,274.4064792404355,432.99651643140334
n_sr__635,352.21271742733256,274.4064792404355,432.99651643140334
n_sr__634,313.47489701053337,244.2261126947123,385.37375761355923
n_sr__633,364.9606750960073,284.3383244245574,448.66835617208505
n_sr__632,398.72277438901034,310.6421412385269,490.174158370433
n_sr__631,391.67382551560496,305.1503541820414,481.5084567768575
n_sr__630,391.67382551560496,305.1503541820414,481.5084567768575
n_sr__629,310.76806892197226,242.11724175127617,382.04608920485833
n_sr__628,200.58254192638583,156.2724637802793,246.5883189723265
n_sr__627,200.58254192638583,156.2724637802793,246.5883189723265
n_sr__626,204.43386489348808,159.27300272600434,251.32298454768747
n_sr__625,265.26936854639314,206.66952063753178,326.1117694316191
n_sr__624,373.58392768170415,291.0566405572798,459.26944507423457
n_sr__623,373.58392768170415,291.0566405572798,459.26944507423457
n_sr__622,360.96611652066724,281.22619161236014,443.75760235139063
n_sr__621,378.6144233988211,294.9758647938463,465.45373943289627
n_sr__620,270.8230618673456,210.99636448949497,332.93926242751564
n_sr__619,388.40743713660726,302.6055337069047,477.4928868685681
n_sr__618,259.5790331174527,202.236219869297,319.1162939812878
n_sr__617,294.06482209100733,229.10385828162708,361.5117719214574
n_sr__616,398.72277438901034,310.6421412385269,490.174158370433
n_sr__615,204.43386489348808,159.27300272600434,251.32298454768747
n_sr__614,250.10807649601514,194.85746341634817,307.4730709474646
n_sr__613,404.1749550876158,314.88989731222875,496.87685572529995
n_sr__612,404.1749550876158,314.88989731222875,496.87685572529995
n_sr__611,305.8039415701613,238.24972464666564,375.94338551444025
n_sr__610,378.6144233988211,294.9758647938463,465.45373943289627
n_sr__609,378.6144233988211,294.9758647938463,465.45373943289627
n_sr__608,378.6144233988211,294.9758647938463,465.45373943289627
n_sr__607,388.40743713660726,302.6055337069047,477.4928868685681
n_sr__606,259.5790331174527,202.236219869297,319.1162939812878
n_sr__605,294.06482209100733,229.10385828162708,361.5117719214574
n_sr__604,345.07645989503686,268.8466706148588,424.22348099301405
n_sr__603,345.07645989503686,268.8466706148588,424.22348099301405
n_sr__602,310.76806892197226,242.11724175127617,382.04608920485833
n_sr__601,318.8505506570513,248.41424707421925,391.9823756086328
n_sr__600,318.8505506570513,248.41424707421925,391.9823756086328
n_sr__599,310.1451799573158,241.63195328981007,381.280333914164
n_sr__598,495.0513060826267,385.6910305163525,608.5966814438464
n_sr__597,343.28136267984166,267.4481228556693,422.0166588018318
n_sr__596,357.4112335769063,278.4566070276963,439.3873685273169
n_sr__595,377.6045545072934,294.1890829619957,464.21224618052906
n_sr__594,323.7735551955669,252.24972568091516,398.03452452342333
n_sr__593,323.7735551955669,252.24972568091516,398.03452452342333
n_sr__592,194.2066389322818,151.30504208872264,238.7500336153499
n_sr__591,280.5208872579001,218.55187282306215,344.8613890382235
n_sr__590,377.6045545072934,294.1890829619957,464.21224618052906
n_sr__589,280.0466886082231,218.18242795216455,344.27842779563576
n_sr__588,273.76699640724996,213.28996342059017,336.55842021855614
n_sr__587,311.039286623767,242.3285455769892,382.3795136221521
n_sr__586,311.039286623767,242.3285455769892,382.3795136221521
n_sr__585,273.76699640724996,213.28996342059017,336.55842021855614
n_sr__584,368.6193856090713,287.18880034656036,453.1662315422851
n_sr__583,368.6193856090713,287.18880034656036,453.1662315422851
n_sr__582,322.8811270099367,251.55444108647328,396.9374082739999
n_sr__581,201.24665358797023,156.7898685583038,247.4047518316733
n_sr__580,201.24665358797023,156.7898685583038,247.4047518316733
n_sr__579,292.587444846632,227.9528439426215,359.6955422153238
n_sr__578,292.587444846632,227.9528439426215,359.6955422153238
n_sr__577,292.587444846632,227.9528439426215,359.6955422153238
n_sr__576,366.30935570298254,285.38907210818206,450.32637127405064
n_sr__575,404.1158298739077,314.84383326932175,496.8041695038715
n_sr__574,367.1525457478259,286.0459956094858,451.3629560821564
n_sr__573,224.25456999912024,174.71517626200557,275.68978290363697
n_sr__572,363.89428284851454,283.5075056390768,447.35737532026764
n_sr__571,303.0847502862475,236.13122162369055,372.6005182777164
n_sr__570,303.0847502862475,236.13122162369055,372.6005182777164
n_sr__569,391.86789028644864,305.3015486956886,481.74703240340244
n_sr__568,336.5414052495869,262.19706888414936,413.73081918333935
n_sr__567,208.75050000720947,162.63606312988173,256.62968664691664
n_sr__566,337.64849422054897,263.0595942039238,415.09183099264493
n_sr__565,337.64849422054897,263.0595942039238,415.09183099264493
n_sr__564,337.64849422054897,263.0595942039238,415.09183099264493
n_sr__563,208.75050000720947,162.63606312988173,256.62968664691664
n_sr__562,199.51132206006073,155.4378838305325,245.27140323504457
n_sr__561,208.75050000720947,162.63606312988173,256.62968664691664
n_sr__560,208.75050000720947,162.63606312988173,256.62968664691664
n_sr__559,199.51132206006073,155.4378838305325,245.27140323504457
n_sr__558,296.28438101888787,230.8331012099209,364.24041071339644
n_sr__557,351.44258167787046,273.8064718327226,432.049741712046
n_sr__556,296.28438101888787,230.8331012099209,364.24041071339644
n_sr__555,326.826467998756,254.62822881921826,401.78765592198636
n_sr__554,351.44258167787046,273.8064718327226,432.049741712046
n_sr__553,296.28438101888787,230.8331012099209,364.24041071339644
n_sr__552,298.4845774812211,232.5472589759325,366.94524604874044
n_sr__551,270.95032696980667,211.09551584595815,333.0957171587117
n_sr__550,270.95032696980667,211.09551584595815,333.0957171587117
n_sr__549,292.78862655361604,228.10958321173223,359.942867124345
n_sr__548,286.72293250336133,223.38384315147033,352.48594049011336
n_sr__547,286.72293250336133,223.38384315147033,352.48594049011336
n_sr__546,305.7154271875267,238.18076370658844,375.83456940009086
n_sr__545,216.2192851810455,168.4549417289441,265.8115185406294
n_sr__544,305.7154271875267,238.18076370658844,375.83456940009086
n_sr__543,150.91540129963337,117.5771398496815,185.52948205815562
n_sr__542,150.91540129963337,117.5771398496815,185.52948205815562
n_sr__541,317.1475846450818,247.08747809488196,389.88881590934113
n_sr__540,260.273040934376,202.77691653408039,319.969480002789
n_sr__539,189.0639562662236,147.29841378026302,232.42782101672393
n_sr__538,375.21742204087246,292.32928465495064,461.27759904521145
n_sr__537,375.21742204087246,292.32928465495064,461.27759904521145
n_sr__536,321.24959549691437,250.28332622858736,394.93166734917816
n_sr__535,321.24959549691437,250.28332622858736,394.93166734917816
n_sr__534,353.30523691236783,275.25765357502473,434.3396170854883
n_sr__533,255.30374370098798,198.90537161067886,313.86042066249655
n_sr__532,255.30374370098798,198.90537161067886,313.86042066249655
n_sr__531,255.30374370098798,198.90537161067886,313.86042066249655
n_sr__530,110.30241465605067,85.93584433455392,135.60146734308628
n_sr__529,110.30241465605067,85.93584433455392,135.60146734308628
n_sr__528,213.74213825194443,166.52501377988835,262.7662111513219
n_sr__527,213.74213825194443,166.52501377988835,262.7662111513219
n_sr__526,283.35764391477096,220.76197021068526,348.34878653869015
n_sr__525,291.5007067280533,227.10617383044115,358.35954894666827
n_sr__524,283.3530553228219,220.7583952706019,348.34314550351183
n_sr__523,198.8517722881682,154.92403318904852,244.4605785841672
n_sr__522,245.94988942814433,191.6178487833162,302.36115866840373
n_sr__521,55.14652511693083,42.96427428916827,67.79497754465503
n_sr__520,67.99953080135037,52.9779616519664,83.59595920050596
n_sr__519,70.58590023141647,54.992984092108586,86.77554045357174
n_sr__518,86.98703213234116,67.7709919203446,106.93844947771147
n_sr__517,70.25571829320992,54.73574163978078,86.36962771403101
n_sr__516,73.14165144713485,56.98415209433846,89.91748087342523
n_sr__515,73.76520326140687,57.469956977331286,90.68405104546896
n_sr__514,119.10579034782563,92.79449312684005,146.42399253530024
n_sr__513,75.39098486609757,58.73659212161477,92.68272325824782
n_sr__512,57.904509075054115,45.113000414897535,71.1855349753005
n_sr__511,336.27290301241305,261.98788065804206,413.4007330518688
n_sr__510,58.06219291266848,45.235850796419626,71.37938530780204
n_sr__509,71.58032451679725,55.76773313869525,87.99804671220362
n_sr__508,50.11880902728417,39.04721564103734,61.614100351110004
n_sr__507,69.65127951603729,54.264827591100655,85.62655436102011
n_sr__506,59.66943007631848,46.488038095626315,73.3552597112671
n_sr__505,67.39713166617858,52.50863667418766,82.85539330346536
n_sr__504,57.03365175397002,44.43452153104308,70.11493710168455
n_sr__503,55.57538486927783,43.298395940393846,68.32220092307323
n_sr__502,61.796979690656926,48.14559720747301,75.97078585771746
n_sr__501,56.050706006524194,43.66871533355216,68.90654210790379
n_sr__500,48.607100450523724,37.86945399967359,59.75566504991508
n_sr__499,89.59242824151892,69.80083791389166,110.14142138468314
n_sr__498,86.65242691957036,67.51030332555848,106.5270989377088
n_sr__497,85.58543608717113,66.6790181867392,105.21538220905767
n_sr__496,67.88860614396594,52.89154102264857,83.45959277232973
n_sr__495,69.47190027622018,54.125074472568826,85.40603255099506
n_sr__494,76.37818767825428,59.50571496862289,93.8963517206083
n_sr__493,68.81496805724171,53.613263148360524,84.5984258171243
n_sr__492,67.65179965926059,52.707046736911416,83.16847215722322
