area,date,flow_rate,rbs,shock_class,survival,scaled_intensity,beta_0_median,beta_0_min,beta_0_max,beta_1_median,beta_1_min,beta_1_max,effective_channels,minimum_channels,maximum_channels,calibration_factor,minimum_calibration_factor,maximum_calibration_factor
9.5232,20170421,0.71,sd1,medium,0,303694.0848791449,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,495.83859576415455,386.3044024332679,609.5645445352586,3277.793793696238,2611.1366568643966,4020.089149655385
3.4816000000000003,20170421,0.71,sd1,medium,1,295231.6575350169,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,482.0220668951829,375.54004085668583,592.5790452235453,3277.793793696238,2611.1366568643966,4020.089149655385
2.56,20170421,0.71,sd1,medium,0,368313.73931327125,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,601.3425232645297,468.5017787883373,739.266939755894,3277.793793696238,2611.1366568643966,4020.089149655385
2.56,20170421,0.71,sd1,medium,0,368313.73931327125,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,601.3425232645297,468.5017787883373,739.266939755894,3277.793793696238,2611.1366568643966,4020.089149655385
2.56,20170421,0.71,sd1,medium,1,368313.73931327125,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,601.3425232645297,468.5017787883373,739.266939755894,3277.793793696238,2611.1366568643966,4020.089149655385
2.56,20170421,0.71,sd1,medium,1,368313.73931327125,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,601.3425232645297,468.5017787883373,739.266939755894,3277.793793696238,2611.1366568643966,4020.089149655385
2.2272000000000003,20170421,0.71,sd1,medium,1,571905.1687732002,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,933.7444155608537,727.4737819123058,1147.9088038850894,3277.793793696238,2611.1366568643966,4020.089149655385
12.5696,20170421,0.71,sd1,medium,0,215856.96992479602,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,352.42772968729,274.5739937972051,433.2608440804209,3277.793793696238,2611.1366568643966,4020.089149655385
3.1232,20170421,0.71,sd1,medium,0,535446.5139176605,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,874.2186983108294,681.0977094804214,1074.7302190923385,3277.793793696238,2611.1366568643966,4020.089149655385
3.1232,20170421,0.71,sd1,medium,0,535446.5139176605,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,874.2186983108294,681.0977094804214,1074.7302190923385,3277.793793696238,2611.1366568643966,4020.089149655385
3.5328000000000004,20170421,0.71,sd1,medium,1,335177.51763247815,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,547.2413127201341,426.3519018146415,672.7570309952079,3277.793793696238,2611.1366568643966,4020.089149655385
9.2928,20170421,0.71,sd1,medium,1,310859.77851815266,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,507.53795919777446,395.41929513965147,623.9472836033547,3277.793793696238,2611.1366568643966,4020.089149655385
2.8928000000000003,20170421,0.71,sd1,medium,0,370955.00886455865,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,605.6549002601705,471.86152172202435,744.5684070915718,3277.793793696238,2611.1366568643966,4020.089149655385
2.8928000000000003,20170421,0.71,sd1,medium,1,370955.00886455865,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,605.6549002601705,471.86152172202435,744.5684070915718,3277.793793696238,2611.1366568643966,4020.089149655385
