area,date,rbs,survival,scaled_intensity,beta_0_median,beta_0_min,beta_0_max,beta_1_median,beta_1_min,beta_1_max,effective_channels,minimum_channels,maximum_channels,calibration_factor,minimum_calibration_factor,maximum_calibration_factor
5.1968000000000005,20170714,sd4,0,47450.89710002224,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,77.19517379395782,60.94475553165452,95.4824966271318,3289.314795515432,2620.9121672800206,3993.837831115112
22.144,20170714,sd4,0,42044.12105601596,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,68.39919643862396,54.000426459818826,84.60277660208628,3289.314795515432,2620.9121672800206,3993.837831115112
4.2496,20170714,sd4,0,41017.82990895075,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,66.7295815671938,52.682283560847985,82.53763459262018,3289.314795515432,2620.9121672800206,3993.837831115112
11.52,20170714,sd4,0,42313.95010883984,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,68.83816602403542,54.34698820395246,85.14573686629056,3289.314795515432,2620.9121672800206,3993.837831115112
14.0032,20170714,sd4,0,49726.85836989965,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,80.89780612577985,63.86794374661723,100.06227230168803,3289.314795515432,2620.9121672800206,3993.837831115112
14.0032,20170714,sd4,0,49726.85836989965,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,80.89780612577985,63.86794374661723,100.06227230168803,3289.314795515432,2620.9121672800206,3993.837831115112
14.0032,20170714,sd4,0,49726.85836989965,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,80.89780612577985,63.86794374661723,100.06227230168803,3289.314795515432,2620.9121672800206,3993.837831115112
14.0032,20170714,sd4,0,49726.85836989965,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,80.89780612577985,63.86794374661723,100.06227230168803,3289.314795515432,2620.9121672800206,3993.837831115112
4.4032,20170714,sd4,0,46424.75324966927,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,75.52579855119636,59.62680181692817,93.41765101370223,3289.314795515432,2620.9121672800206,3993.837831115112
4.4032,20170714,sd4,0,46424.75324966927,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,75.52579855119636,59.62680181692817,93.41765101370223,3289.314795515432,2620.9121672800206,3993.837831115112
10.4192,20170714,sd4,0,55837.844976814406,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,90.83942371372451,71.71674340219761,112.35903155690794,3289.314795515432,2620.9121672800206,3993.837831115112
10.4192,20170714,sd4,0,55837.844976814406,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,90.83942371372451,71.71674340219761,112.35903155690794,3289.314795515432,2620.9121672800206,3993.837831115112
10.752,20170714,sd4,0,29577.859821707563,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,48.11854293454374,37.98906967309306,59.517692462397015,3289.314795515432,2620.9121672800206,3993.837831115112
10.6496,20170714,sd4,0,53430.9267338053,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,86.92374490821574,68.62535729846049,107.51573928920935,3289.314795515432,2620.9121672800206,3993.837831115112
9.2672,20170714,sd4,0,39081.82601934351,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,63.58000662008624,50.19572817472462,78.64193406519115,3289.314795515432,2620.9121672800206,3993.837831115112
15.8976,20170714,sd4,0,2684.479465170589,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,4.367227418763752,3.447878854422998,5.401811496597294,3289.314795515432,2620.9121672800206,3993.837831115112
5.8624,20170517,sd2,0,194488.14504802471,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,316.4017347490719,249.79575051598502,391.35642924560085,3289.314795515432,2620.9121672800206,3993.837831115112
5.8624,20170517,sd2,0,194488.14504802471,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,316.4017347490719,249.79575051598502,391.35642924560085,3289.314795515432,2620.9121672800206,3993.837831115112
26.112,20170517,sd2,0,162372.36606594175,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,264.15439504494924,208.54704040949522,326.7318394961057,3289.314795515432,2620.9121672800206,3993.837831115112
26.112,20170517,sd2,0,162372.36606594175,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,264.15439504494924,208.54704040949522,326.7318394961057,3289.314795515432,2620.9121672800206,3993.837831115112
5.247999999999999,20170517,sd2,1,178843.0723407684,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,290.94965311381895,229.70160710266165,359.8748199758547,3289.314795515432,2620.9121672800206,3993.837831115112
26.112,20170517,sd2,1,162372.36606594175,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,264.15439504494924,208.54704040949522,326.7318394961057,3289.314795515432,2620.9121672800206,3993.837831115112
4.8896000000000015,20170517,sd2,0,162279.41000574967,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,264.00317010168624,208.42764995094078,326.5447897826924,3289.314795515432,2620.9121672800206,3993.837831115112
4.8896000000000015,20170517,sd2,0,162279.41000574967,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,264.00317010168624,208.42764995094078,326.5447897826924,3289.314795515432,2620.9121672800206,3993.837831115112
4.0192000000000005,20170517,sd2,1,109488.58557081502,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,178.12077132657043,140.6244241716735,220.31708864087793,3289.314795515432,2620.9121672800206,3993.837831115112
6.9632000000000005,20170517,sd2,0,93786.76091724948,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,152.57636316798005,120.45738996586478,188.72128095016973,3289.314795515432,2620.9121672800206,3993.837831115112
5.4272,20170517,sd2,0,192103.58429340844,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,312.5224280736504,246.73307981591097,386.5581255648527,3289.314795515432,2620.9121672800206,3993.837831115112
5.3504000000000005,20170517,sd2,1,176702.21213393833,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,287.4668090405772,226.9519393427945,355.56689978950027,3289.314795515432,2620.9121672800206,3993.837831115112
6.3744000000000005,20170517,sd2,0,194010.89758640944,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,315.62532791603655,249.18278571123253,390.3960937845466,3289.314795515432,2620.9121672800206,3993.837831115112
6.3744000000000005,20170517,sd2,1,194010.89758640944,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,315.62532791603655,249.18278571123253,390.3960937845466,3289.314795515432,2620.9121672800206,3993.837831115112
6.3744000000000005,20170517,sd2,1,194010.89758640944,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,315.62532791603655,249.18278571123253,390.3960937845466,3289.314795515432,2620.9121672800206,3993.837831115112
6.3744000000000005,20170517,sd2,1,194010.89758640944,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,315.62532791603655,249.18278571123253,390.3960937845466,3289.314795515432,2620.9121672800206,3993.837831115112
13.7728,20170517,sd2,1,259966.25368048926,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,422.92435675404937,333.8942094949365,523.1139653248784,3289.314795515432,2620.9121672800206,3993.837831115112
6.6048,20170517,sd2,0,210433.1243261646,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,342.34171737832526,270.27508649176525,423.4415219032898,3289.314795515432,2620.9121672800206,3993.837831115112
16.819200000000002,20170517,sd2,1,199428.23146556597,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,324.43848121469546,256.1406750047184,401.29705868631174,3289.314795515432,2620.9121672800206,3993.837831115112
7.8848,20170517,sd2,1,172890.11972922902,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,281.26513207164953,222.0557823917602,347.8960627259202,3289.314795515432,2620.9121672800206,3993.837831115112
7.6288,20170517,sd2,0,161420.63378548622,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,262.60607576575376,207.32465906986153,324.81672766867337,3289.314795515432,2620.9121672800206,3993.837831115112
11.4944,20170517,sd2,0,139932.80588107917,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,227.64874701306763,179.7262257719642,281.57810456989165,3289.314795515432,2620.9121672800206,3993.837831115112
8.32,20170517,sd2,1,220180.79161346646,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,358.1996445476009,282.79474862958057,443.0561480908686,3289.314795515432,2620.9121672800206,3993.837831115112
6.8096000000000005,20170517,sd2,0,130655.84029796161,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,212.55657775523946,167.811121230381,262.91064222175356,3289.314795515432,2620.9121672800206,3993.837831115112
7.9872,20170517,sd2,0,172130.59519888985,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,280.0295046819984,221.08026791994226,346.36771863047636,3289.314795515432,2620.9121672800206,3993.837831115112
14.5152,20170517,sd2,0,250493.34810907138,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,407.51342384001157,321.7274444913674,504.0522250933829,3289.314795515432,2620.9121672800206,3993.837831115112
4.5056,20170517,sd2,0,168806.4734362223,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,274.62167948028525,216.81084836068314,339.6787946187124,3289.314795515432,2620.9121672800206,3993.837831115112
17.1776,20170517,sd2,0,159799.00721584074,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,259.9679434537595,205.24188211746048,321.553629119867,3289.314795515432,2620.9121672800206,3993.837831115112
17.1776,20170517,sd2,0,159799.00721584074,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,259.9679434537595,205.24188211746048,321.553629119867,3289.314795515432,2620.9121672800206,3993.837831115112
6.8864,20170517,sd2,0,128578.00148289895,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,209.17625961064277,165.14239658327384,258.7295360725328,3289.314795515432,2620.9121672800206,3993.837831115112
17.1776,20170517,sd2,0,159799.00721584074,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,259.9679434537595,205.24188211746048,321.553629119867,3289.314795515432,2620.9121672800206,3993.837831115112
5.3248000000000015,20170517,sd2,0,333616.1982976168,-10.915171301896684,-12.822404299484957,-9.07447447529875,1.9186866268224732,1.5858745146798265,2.240399914639316,542.7412753393855,428.48837196459885,671.3151800178252,3289.314795515432,2620.9121672800206,3993.837831115112
