area,date,rbs,survival,scaled_intensity,effective_channels,minimum_channels,maximum_channels,calibration_factor,minimum_calibration_factor,maximum_calibration_factor
4.3776,20170721,mlg910,-1,348743.57053630846,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
7.808000000000002,20170721,mlg910,-1,221352.05655956655,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
7.372800000000002,20170721,mlg910,-1,257293.30896104092,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
6.195200000000002,20170721,mlg910,-1,177476.10141208692,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
4.1984,20170721,mlg910,-1,393309.673514357,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
4.7616000000000005,20170721,mlg910,-1,227089.39087963448,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
4.096,20170721,mlg910,-1,340063.62081522925,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
5.3504000000000005,20170721,mlg910,-1,249915.63831643193,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
4.8896000000000015,20170721,mlg910,-1,216684.8870983462,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
5.6832,20170721,mlg910,-1,236547.34398957345,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
5.7344,20170721,mlg910,-1,323665.98212205386,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
4.9408,20170721,mlg910,-1,287654.44868672243,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
6.5792,20170721,mlg910,-1,209574.48605343894,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
4.1216,20170721,mlg910,-1,166681.93239417966,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
4.864,20170721,mlg910,-1,275773.6211456114,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
6.3232,20170721,mlg910,-1,255853.04724703732,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
5.5808,20170721,mlg910,-1,214632.94087713194,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
6.0416,20170721,mlg910,-1,213833.02512714334,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
8.2688,20170721,mlg910,-1,165029.4755774777,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
4.224,20170721,mlg910,-1,206422.32320281464,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
4.9152000000000005,20170721,mlg910,-1,283171.1923641322,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
11.136,20170721,mlg910,-1,343758.6770562494,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
5.2992,20170721,mlg910,-1,239473.75400455814,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
4.5056,20170721,mlg910,-1,258561.972013632,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
5.247999999999999,20170721,mlg910,-1,386458.1924801392,347.06792910530737,297.9114739401809,397.6123488745245,3285.790383290854,2598.013967058128,4012.85947532352
