parameter,median,hpd_min,hpd_max
n_sr__628,200.73808555807472,159.54249237646664,250.17030428067542
n_sr__627,200.73808555807472,159.54249237646664,250.17030428067542
n_sr__626,204.59239507004452,162.6058181236482,254.97374644124355
n_sr__625,265.47507419038016,210.99411644985133,330.8489263734077
n_sr__624,373.8736268763306,297.1470515913742,465.9408738413616
n_sr__623,373.8736268763306,297.1470515913742,465.9408738413616
n_sr__622,361.24603111413603,287.11089878548233,450.2037033618331
n_sr__621,378.9080235389911,301.14828627954824,472.21500234799726
n_sr__620,271.0330741754128,215.41150026506133,337.77559673385286
n_sr__619,388.70863136202183,308.9376073470656,484.4290325575952
n_sr__618,259.7803261369429,206.468048088805,323.7518334158383
n_sr__617,294.2928574421436,233.8978965271053,366.7631555280068
n_sr__616,399.0319677403853,317.1423822948085,497.2945144405526
n_sr__615,204.59239507004452,162.6058181236482,254.97374644124355
n_sr__614,250.3020251725016,198.93488986844457,311.9394788756128
n_sr__613,404.48837638414665,321.4790234061851,504.09457635652893
n_sr__612,404.48837638414665,321.4790234061851,504.09457635652893
n_sr__611,306.0410801326692,243.23514174307587,381.4044052792686
n_sr__610,378.9080235389911,301.14828627954824,472.21500234799726
n_sr__609,378.9080235389911,301.14828627954824,472.21500234799726
n_sr__608,378.9080235389911,301.14828627954824,472.21500234799726
n_sr__607,388.70863136202183,308.9376073470656,484.4290325575952
n_sr__606,259.7803261369429,206.468048088805,323.7518334158383
n_sr__605,294.2928574421436,233.8978965271053,366.7631555280068
n_sr__604,345.3440527037974,274.47233414913575,430.3858259195965
n_sr__603,345.3440527037974,274.47233414913575,430.3858259195965
n_sr__602,311.0090569640463,247.1835873185276,387.5957579172581
n_sr__601,319.0978063361292,253.61235857756878,397.67638056561293
n_sr__600,319.0978063361292,253.61235857756878,397.67638056561293
n_sr__599,310.3856849742433,246.68814411125402,386.8188791304772
n_sr__598,495.4351983061517,393.76168268738843,617.4372639204495
n_sr__597,343.54756346346676,273.0445215338415,428.1469470409771
n_sr__596,357.68839150273095,284.2833601597012,445.7699867522927
n_sr__595,377.89737153506786,300.3450409004617,470.95547494620683
n_sr__594,324.024628465136,257.5280952439417,403.816444060409
n_sr__593,324.024628465136,257.5280952439417,403.816444060409
n_sr__592,194.35723830961297,154.4711265184985,242.21815861146527
n_sr__591,280.7384198365065,223.12510893001024,349.87090625339357
n_sr__590,377.89737153506786,300.3450409004617,470.95547494620683
n_sr__589,280.2638534649959,222.74793336066884,349.2794768132246
n_sr__588,273.97929161723573,217.7530931543462,341.44732704775305
n_sr__587,311.2804849841763,247.39931271369596,387.93402571630304
n_sr__586,311.2804849841763,247.39931271369596,387.93402571630304
n_sr__585,273.97929161723573,217.7530931543462,341.44732704775305
n_sr__584,368.90523500253244,293.1982761487618,459.749003955793
n_sr__583,368.90523500253244,293.1982761487618,459.749003955793
n_sr__582,323.1315082376177,256.81826169793595,402.70339090731
n_sr__581,201.40271221133634,160.0707239398314,250.99859678738764
n_sr__580,201.40271221133634,160.0707239398314,250.99859678738764
n_sr__579,292.81433455159305,232.72279701204172,364.9205429495982
n_sr__578,292.81433455159305,232.72279701204172,364.9205429495982
n_sr__577,292.81433455159305,232.72279701204172,364.9205429495982
n_sr__576,366.5934137618766,291.360888282689,456.86789137763174
n_sr__575,404.4292053212316,321.4319954651355,504.0208342822588
n_sr__574,367.43725766642547,292.0315580229833,457.91953379904606
n_sr__573,224.42847032915637,178.37112183772743,279.69450119742424
n_sr__572,364.1764681162924,289.439949706619,453.8557672662323
n_sr__571,303.31978022612304,241.07230867436746,378.0129789648901
n_sr__570,303.31978022612304,241.07230867436746,378.0129789648901
n_sr__569,392.1717679530293,311.69003692032476,488.7449745589809
n_sr__568,336.80237946939417,267.683588340918,419.7407458583017
n_sr__567,208.91237755934412,166.03925115380505,260.35753462887476
n_sr__566,337.91032694298315,268.56416215364095,421.1215279646178
n_sr__565,337.91032694298315,268.56416215364095,421.1215279646178
