parameter,median,hpd_min,hpd_max
n_sr__651,506.1905779204243,396.90492351095,630.5471117329597
n_sr__650,317.8040188653836,249.19069082132768,395.87936823311844
n_sr__649,301.3861083241527,236.3173782552426,375.4280470825089
n_sr__648,345.61251457946184,270.99538127940633,430.51961524480214
n_sr__647,359.5423764106004,281.91781047064137,447.87164534490495
n_sr__646,446.35280761406443,349.98602244391924,556.0089142931273
n_sr__645,446.35280761406443,349.98602244391924,556.0089142931273
n_sr__644,242.57984532490198,190.2072838841228,302.17476876523534
n_sr__643,242.57984532490198,190.2072838841228,302.17476876523534
n_sr__642,310.0382613230578,243.10154665747493,386.2057863801157
n_sr__641,310.0382613230578,243.10154665747493,386.2057863801157
n_sr__640,308.1510902841203,241.62181252267774,383.8549914426896
n_sr__639,270.2741551055549,211.9224409507298,336.6727776285566
n_sr__638,270.2741551055549,211.9224409507298,336.6727776285566
n_sr__637,308.1510902841203,241.62181252267774,383.8549914426896
n_sr__636,351.2628390974497,275.4258106837573,437.5580627398309
n_sr__635,351.2628390974497,275.4258106837573,437.5580627398309
n_sr__634,312.62949025234616,245.13333382388922,389.4336060758401
n_sr__633,363.9764169492111,285.39454946497796,453.3950027065019
n_sr__632,397.64746363422194,311.79607646287633,495.33806163004607
n_sr__631,390.617524988023,306.2838891911984,486.5810683109853
n_sr__630,390.617524988023,306.2838891911984,486.5810683109853
n_sr__629,309.92996217658083,243.0166291060156,386.07088123372836
n_sr__628,200.04159323117582,156.8529655107688,249.18608591368658
n_sr__627,200.04159323117582,156.8529655107688,249.18608591368658
n_sr__626,203.88252961072232,159.86465048957132,253.97063040367468
n_sr__625,264.5539667102402,207.43723115714195,329.5473027015993
n_sr__624,372.57641358655917,292.13782197227,464.1077723176452
n_sr__623,372.57641358655917,292.13782197227,464.1077723176452
n_sr__622,359.99263125185195,282.27085608453154,448.4325149107931
n_sr__621,377.593342619017,296.071604861055,470.35721718914346
n_sr__620,270.0926823410772,211.78014783654297,336.4467222010343
n_sr__619,387.3599456933788,303.72961552991563,482.52319504136096
n_sr__618,258.8789774799073,202.98746210840858,322.47813108050167
n_sr__617,293.27176213529265,229.9549051198039,365.3202383318856
n_sr__616,397.64746363422194,311.79607646287633,495.33806163004607
n_sr__615,203.88252961072232,159.86465048957132,253.97063040367468
n_sr__614,249.4335629698497,195.5812959584077,310.71224862787784
n_sr__613,403.0849404109076,316.05961157846326,502.11137078712244
n_sr__612,403.0849404109076,316.05961157846326,502.11137078712244
n_sr__611,304.9792225213662,239.1347454244816,379.90388657459795
n_sr__610,377.593342619017,296.071604861055,470.35721718914346
n_sr__609,377.593342619017,296.071604861055,470.35721718914346
n_sr__608,377.593342619017,296.071604861055,470.35721718914346
n_sr__607,387.3599456933788,303.72961552991563,482.52319504136096
n_sr__606,258.8789774799073,202.98746210840858,322.47813108050167
n_sr__605,293.27176213529265,229.9549051198039,365.3202383318856
n_sr__604,344.14582725405455,269.8453491648284,428.6926048317472
n_sr__603,344.14582725405455,269.8453491648284,428.6926048317472
n_sr__602,309.92996217658083,243.0166291060156,386.07088123372836
n_sr__601,317.9906463618498,249.3370257699438,396.1118447627097
n_sr__600,317.9906463618498,249.3370257699438,396.1118447627097
n_sr__599,309.3087530738378,242.52953795465234,385.2970588383649
n_sr__598,493.7162080451032,387.1237481252835,615.008146294514
n_sr__597,342.35557121539944,268.44160625241267,426.4625341356982
n_sr__596,356.44733543003883,279.4909833876485,444.01624139999967
n_sr__595,376.5861972310105,295.2819003888117,469.1026450117796
n_sr__594,322.9003741074001,253.18675194089116,402.22775206005684
n_sr__593,322.9003741074001,253.18675194089116,402.22775206005684
n_sr__592,193.68288533477238,151.86709145199237,241.26522552370693
n_sr__591,279.76435378054,219.3637224433119,348.4944464333532
n_sr__590,376.5861972310105,295.2819003888117,469.1026450117796
n_sr__589,279.29143399161694,218.9929052040412,347.9053437910009
n_sr__588,273.0286774185894,214.08226674688686,340.104007217664
n_sr__587,310.20044843454946,243.22871785719485,386.4078182218215
n_sr__586,310.20044843454946,243.22871785719485,386.4078182218215
n_sr__585,273.0286774185894,214.08226674688686,340.104007217664
n_sr__584,367.62526032897824,288.2556139843922,457.94026244588764
n_sr__583,367.62526032897824,288.2556139843922,457.94026244588764
n_sr__582,322.01035270083423,252.48888458874205,401.1190778733578
n_sr__581,200.70391385784086,157.37229228043364,250.0111197574624
n_sr__580,200.70391385784086,157.37229228043364,250.0111197574624
n_sr__579,291.79836921220965,228.79961513428037,363.48487494777345
n_sr__578,291.79836921220965,228.79961513428037,363.48487494777345
n_sr__577,291.79836921220965,228.79961513428037,363.48487494777345
n_sr__576,365.3214603153398,286.44920033687964,455.0704847218967
n_sr__575,403.025974651292,316.0133764225145,502.0379188284363
n_sr__574,366.1623763708808,287.10856409681935,456.11798977860815
n_sr__573,223.64978049016872,175.3641867127877,278.5941289289578
n_sr__572,362.9129006424124,284.56064445604494,452.0702108893808
n_sr__571,302.2673645924041,237.00837284700447,376.5258027873371
n_sr__570,302.2673645924041,237.00837284700447,376.5258027873371
n_sr__569,390.8110663878715,306.4356453436314,486.82215729208923
n_sr__568,335.63379069696686,263.17104631135965,418.0894045744703
n_sr__567,208.18752324203928,163.24020357665705,259.33323772720024
n_sr__566,336.7378939727205,264.0367756341209,419.4647544168982
n_sr__565,336.7378939727205,264.0367756341209,419.4647544168982
n_sr__564,336.7378939727205,264.0367756341209,419.4647544168982
n_sr__563,208.18752324203928,163.24020357665705,259.33323772720024
n_sr__562,198.9732623250933,156.01528536605906,247.85529668806944
n_sr__561,208.18752324203928,163.24020357665705,259.33323772720024
n_sr__560,208.18752324203928,163.24020357665705,259.33323772720024
n_sr__559,198.9732623250933,156.01528536605906,247.85529668806944
n_sr__558,295.48533516083864,231.69057162707014,368.0776228798205
n_sr__557,350.49478031802107,274.8235744423135,436.60131390622064
n_sr__556,295.48533516083864,231.69057162707014,368.0776228798205
n_sr__555,325.9450535460022,255.57409045015063,406.0204220738893
n_sr__554,350.49478031802107,274.8235744423135,436.60131390622064
n_sr__553,295.48533516083864,231.69057162707014,368.0776228798205
n_sr__552,297.6795979392426,233.41109693554853,370.8109532057029
n_sr__551,270.2196042237821,211.87966750827178,336.60482515681053
n_sr__550,270.2196042237821,211.87966750827178,336.60482515681053
n_sr__549,291.99900835461733,228.95693663915264,363.7348053835896
n_sr__548,285.94967280321555,224.21364198087352,356.1993212670925
n_sr__547,285.94967280321555,224.21364198087352,356.1993212670925
n_sr__546,304.8909468521276,239.06552831678485,379.7939241005762
n_sr__545,215.6361659370943,169.08069743034937,268.6117986932957
n_sr__544,304.8909468521276,239.06552831678485,379.7939241005762
n_sr__543,150.5083993310867,118.01390094947905,187.48400430457406
n_sr__542,150.5083993310867,118.01390094947905,187.48400430457406
n_sr__541,316.2922730588635,248.00532827236455,393.9962297600717
n_sr__540,259.5711136353219,203.53016728666893,323.3403052748843
n_sr__539,188.5540719090347,147.84557981341666,234.87640946651732
n_sr__538,374.20550259402665,293.41519353172856,466.13708185682043
n_sr__537,374.20550259402665,293.41519353172856,466.13708185682043
n_sr__536,320.38322124593617,251.21304794970038,399.0922068013777
