area,date,eccentricity,exposure_ms,intensity,mean_bg,rbs,replicate_number,scaled_intensity,experiment,effective_channels
4.1728000000000005,20170721,,50.0,278995.38534680073,109488.77237596008,mlg910,1.0,339013.22594168124,cal,503.54653975445325
5.760000000000002,20170721,,50.0,230538.08840442047,109488.77237596008,mlg910,1.0,242098.6320569208,cal,359.59637891095207
3.3024,20170721,,50.0,523255.4539579295,109488.77237596008,mlg910,1.0,827533.3631639389,cal,1229.1601910075622
4.9408,20170721,,50.0,240096.53681668144,110076.0919268802,mlg910,1.0,260040.88977960253,cal,386.24655389024093
3.5839999999999996,20170721,,50.0,231484.5830675839,110076.0919268802,mlg910,1.0,242816.98228140743,cal,360.6633661025795
5.5552,20170721,,50.0,192621.0278300496,110076.0919268802,mlg910,1.0,165089.8718063388,cal,245.21295139939082
8.3968,20170721,,50.0,264904.6436943825,106805.16451619631,mlg910,1.0,316198.95835637243,cal,469.6598220085483
3.4560000000000004,20170721,,50.0,236593.19774558058,106805.16451619631,mlg910,1.0,259576.06645876856,cal,385.556137833012
5.0944,20170721,,50.0,282717.19934869115,106805.16451619631,mlg910,1.0,351824.0696649897,cal,522.5748712016657
7.167999999999999,20170721,,50.0,214194.64234520827,106805.16451619631,mlg910,1.0,214778.95565802392,cal,319.0176419614903
6.4768,20170721,,50.0,221330.53450495796,106805.16451619631,mlg910,1.0,229050.7399775233,cal,340.2159524116025
6.0672000000000015,20170721,,50.0,199062.78434835392,104564.52747264644,mlg910,1.0,188996.51375141495,cal,280.7222056332142
7.0144,20170721,,50.0,265092.7902167912,104564.52747264644,mlg910,1.0,321056.52548828954,cal,476.8749125528995
11.776,20170721,,50.0,184482.99807235145,104564.52747264644,mlg910,1.0,159836.94119941,cal,237.4106155957007
5.4016,20170721,,50.0,242002.97348977477,104564.52747264644,mlg910,1.0,274876.89203425666,cal,408.28291420736167
5.8368,20170721,,50.0,308727.9097847935,107944.54797402602,mlg910,1.0,401566.723621535,cal,596.4591310515465
5.6320000000000014,20170721,,50.0,238732.704258468,107944.54797402602,mlg910,1.0,261576.31256888396,cal,388.52716353446704
6.2208000000000006,20170721,,50.0,261863.6110746557,107944.54797402602,mlg910,1.0,307838.1262012593,cal,457.2412265703302
4.6336,20170721,,50.0,242227.45984261556,107944.54797402602,mlg910,1.0,268565.82373717905,cal,398.90889467074885
6.6048,20170721,,50.0,217159.52509419827,106607.4101087415,mlg910,1.0,221104.22997091353,cal,328.41276212061115
5.2992,20170721,,50.0,204082.3870262168,106607.4101087415,mlg910,1.0,194949.95383495057,cal,289.56502922917474
2.8160000000000003,20170721,,50.0,169610.25114650436,106607.4101087415,mlg910,1.0,126005.68207552572,cal,187.1600289997112
14.3872,20170721,,50.0,228662.48788227807,106607.4101087415,mlg910,1.0,244110.15554707314,cal,362.5841552441246
5.5552,20170721,,50.0,266369.2196040834,108960.96042424404,mlg910,1.0,314816.5183596787,cal,467.6064423068577
5.2992,20170721,,50.0,243444.06061455907,108960.96042424404,mlg910,1.0,268966.2003806301,cal,399.5035861399335
4.4544000000000015,20170721,,50.0,224440.9231616696,108960.96042424404,mlg910,1.0,230959.92547485113,cal,343.0517230463865
3.3280000000000003,20170721,,50.0,217183.18169564227,108960.96042424404,mlg910,1.0,216444.44254279646,cal,321.49143971821235
4.5056,20170721,,50.0,203543.4790543817,108960.96042424404,mlg910,1.0,189165.0372602753,cal,280.97251866899086
13.6448,20170721,,50.0,259649.7557551707,108960.96042424404,mlg910,1.0,301377.5906618533,cal,447.6451988437064
4.0192000000000005,20170721,,50.0,209330.6109174545,105852.6269004492,mlg910,1.0,206955.96803401056,cal,307.39792318010126
6.9888,20170721,,50.0,229360.21757007352,105852.6269004492,mlg910,1.0,247015.18133924864,cal,366.8990774170992
4.2496,20170721,,50.0,264801.9550779844,105852.6269004492,mlg910,1.0,317898.6563550704,cal,472.18443456162663
4.6592,20170721,,50.0,210637.26753656773,105852.6269004492,mlg910,1.0,209569.28127223704,cal,311.2795559239218
4.5312,20170721,,50.0,180071.16152152707,105852.6269004492,mlg910,1.0,148437.06924215573,cal,220.47804294525577
5.9904,20170721,,50.0,167511.31464199667,105852.6269004492,mlg910,1.0,123317.37548309492,cal,183.16700637158968
7.936,20170721,,50.0,203487.25322791628,105852.6269004492,mlg910,1.0,195269.25265493416,cal,290.03929336888143
4.4032,20170721,,50.0,217340.6014768229,106826.17733260505,mlg910,1.0,221028.84828843566,cal,328.3007954406471
3.6096,20170721,,50.0,275829.86396189575,106826.17733260505,mlg910,1.0,338007.3732585814,cal,502.05251651488555
4.1728000000000005,20170721,,50.0,244691.31601698665,106826.17733260505,mlg910,1.0,275730.2773687632,cal,409.5504731088599
3.5839999999999996,20170721,,50.0,240181.70958598392,106826.17733260505,mlg910,1.0,266711.0645067578,cal,396.1539650069813
5.4016,20170721,,50.0,241026.8428698773,106826.17733260505,mlg910,1.0,268401.33107454446,cal,398.6645687720923
4.6848,20170721,,50.0,200421.13486584113,106826.17733260505,mlg910,1.0,187189.91506647217,cal,278.0388102759947
11.008,20170721,,50.0,261487.1144834723,106826.17733260505,mlg910,1.0,309321.8743017345,cal,459.4450822452414
6.8352,20170721,,50.0,237852.7360747984,106826.17733260505,mlg910,1.0,262053.11748438666,cal,389.23537621458416
5.888,20170721,,50.0,210306.06344418274,106826.17733260505,mlg910,1.0,206959.7722231554,cal,307.40357365664283
4.0192000000000005,20170721,,50.0,248919.491244736,106377.53673337064,mlg910,1.0,285083.9090227308,cal,423.4437034995329
6.1184,20170721,,50.0,255604.8300323186,106377.53673337064,mlg910,1.0,298454.58659789595,cal,443.3035730029873
6.016,20170721,,50.0,194727.16704591282,106377.53673337064,mlg910,1.0,176699.26062508437,cal,262.4567257450825
3.3280000000000003,20170721,,50.0,233892.51400340092,106377.53673337064,mlg910,1.0,255029.95454006057,cal,378.8036610833418
6.912000000000001,20170721,,50.0,184961.95468322406,106377.53673337064,mlg910,1.0,157168.83589970684,cal,233.44759855518805
11.5968,20170721,,50.0,315211.2004367775,106377.53673337064,mlg910,1.0,417667.32740681374,cal,620.373842052908
3.968,20170721,,50.0,224156.66894700305,108345.12510021748,mlg910,1.0,231623.08769357114,cal,344.0367378333606
3.9168,20170721,,50.0,264825.0744639202,108345.12510021748,mlg910,1.0,312959.89872740547,cal,464.848749332271
10.2912,20170721,,50.0,286090.1030938741,108345.12510021748,mlg910,1.0,355489.9559873133,cal,528.019922401694
5.7856000000000005,20170721,,50.0,216498.35378877167,108345.12510021748,mlg910,1.0,216306.45737710837,cal,321.2864862019397
7.961600000000002,20170721,,50.0,224403.30564990785,108345.12510021748,mlg910,1.0,232116.36109938074,cal,344.76941165739316
5.5296,20170721,,50.0,161236.94109694788,108345.12510021748,mlg910,1.0,105783.63199346079,cal,157.12360986803773
4.2496,20170721,,50.0,205905.59444776515,108345.12510021748,mlg910,1.0,195120.93869509533,cal,289.81899818403525
4.5824,20170721,,50.0,226506.2322912977,107758.41072747226,mlg910,1.0,237495.64312765087,cal,352.759421027012
3.5584,20170721,,50.0,240224.56373193106,107758.41072747226,mlg910,1.0,264932.3060089176,cal,393.51192151691316
7.7568,20170721,,50.0,214589.47203201786,107758.41072747226,mlg910,1.0,213662.12260909117,cal,317.35877624699975
5.8368,20170721,,50.0,223081.94920320503,107758.41072747226,mlg910,1.0,230647.07695146554,cal,342.58703972619884
6.8352,20170721,,50.0,209091.71656908124,107758.41072747226,mlg910,1.0,202666.61168321795,cal,301.0268131969558
5.3248000000000015,20170721,,50.0,241314.9867345661,107758.41072747226,mlg910,1.0,267113.15201418765,cal,396.7511976738851
5.9648,20170721,,50.0,230400.9199042213,107677.4471721206,mlg910,1.0,245446.94546420136,cal,364.5697295097857
7.1168000000000005,20170721,,50.0,245484.49667020372,107677.4471721206,mlg910,1.0,275614.09899616626,cal,409.37790987816874
7.0912000000000015,20170721,,50.0,240514.3044355676,107677.4471721206,mlg910,1.0,265673.71452689404,cal,394.61315788530106
4.7104,20170721,,50.0,235946.7079860161,107677.4471721206,mlg910,1.0,256538.52162779096,cal,381.0443811464133
5.6832,20170721,,50.0,201768.86547742985,107677.4471721206,mlg910,1.0,188182.83661061848,cal,279.513626505992
4.9152000000000005,20170721,,50.0,234013.69619725895,107677.4471721206,mlg910,1.0,252672.49805027668,cal,375.30206006245254
7.7568,20170721,,50.0,226651.621750934,107677.4471721206,mlg910,1.0,237948.34915762677,cal,353.4318389077219
3.1744000000000003,20170721,,50.0,215633.06836797745,107677.4471721206,mlg910,1.0,215911.24239171372,cal,320.6994614986946
8.5248,20170721,,50.0,210222.9798760696,108685.19752677024,mlg910,1.0,203075.56469859876,cal,301.6342434092879
9.344,20170721,,50.0,243631.2214535813,108685.19752677024,mlg910,1.0,269892.0478536221,cal,400.8787752349033
8.5504,20170721,,50.0,200246.94731293232,108685.19752677024,mlg910,1.0,183123.49957232416,cal,271.9988410518018
